author,key,affiliation
Amar Mukhopadhyay,conf/isca/Mukhopadhyay78,College of Business Management ( CBM )
Amarnath Gupta,conf/er/LudascherG99|conf/vldb/GuptaWJ91|journals/cacm/GuptaJ97|conf/spieSR/BachFGHHHJS96|conf/sigmod/BaruGLMPVC99|conf/dl/BaruCGLMPV99|conf/ssd/GuptaWJ91,Universidad de Almería
Amaryllis Deliyanni,journals/cacm/DeliyanniK79,William Carey College
Amber van Wyk,conf/sigmod/RundensteinerKZWLLN99,Universidade Federal de Juiz de Fora
Ambuj Goyal,conf/sigmod/BhideGHJ92|journals/ibmsj/BaruFGHJPCW95|conf/sigmod/BaruFGHJPW95|conf/ride/DiasGP92,Tianjin Medical University
Ambuj K. Singh,journals/tods/AgrawalAS93|conf/er/WuAAS97|conf/sigmod/AgrawalASY97|conf/sigmod/KanthAS98|conf/icdt/KanthS99|journals/ipl/KanthS98|conf/cikm/WuAASS96|conf/adl/ChengDNPKWAAFSSS97|conf/dexaw/PrabhakarAAS97,Sher-E-Kashmir University of Agricultural Sciences and Technology
Ambuj Shatdal,conf/sigmod/ShatdalN95|conf/sigmod/ShatdalN93|conf/edbt/Shatdal00|conf/vldb/ShatdalKN94,Mount St. Mary's College California
Amedeo Napoli,conf/ecai/Napoli92,Kilimanjaro Christian Medical College
Amelia C. Fong,conf/popl/Fong79|conf/popl/FongU76,Wheeling Jesuit University
Amihai Motro,journals/tkde/Motro90|journals/tkde/Motro94|journals/tods/Motro89|conf/icde/JeffersonM86|conf/icde/Motro86|conf/icde/Motro89|conf/sigmod/Motro86|conf/sigmod/MotroB81|conf/sigmod/MotroY90|conf/sigmod/Motro84|conf/vldb/Motro86|conf/vldb/Motro89|journals/debu/Motro90|journals/debu/Motro89a|journals/sigmod/Motro90|journals/tois/Motro86a|journals/tois/Motro88|journals/tois/Motro86|journals/tse/Motro87|conf/ngits/Motro99|conf/eds/MotroDT88|conf/eds/Motro86|conf/eds/Motro84,"Islamic Azad University, Shiraz"
Amihood Amir,journals/jcss/AmirFGBP94|journals/is/AmirR90|conf/soda/AmirF91|conf/dmkd/FeldmanAAM97,Universidad Nacional de Colombia
Amin Abdulghani,conf/kdd/ImielinskiVA96,Isfahan University of Technology
Amin Vahdat,conf/vldb/YuV00|conf/sigmetrics/Arpaci-DusseauAVLAP95|conf/wecwis/YuV00,Vytautas Magnus University
Amir Evenchik,journals/ai/KrausSE98,"University of Computer Studies, Yangon"
Amir Herzberg,conf/esa/AggarwalGH95,Universitas 17 Agustus 1945 Banyuwangi
Amir M. Ben-Amram,journals/iandc/Ben-AmramG95|conf/popl/LeeJB01,"Universidad Nacional de La Libertad, Trujillo"
Amir M. Zarkesh,conf/cikm/ZarkeshASSS97|conf/ride/ShahabiZAS97,"Instituto de Artes Visuais, Design e Marketing - IADE"
Amir Milo,journals/tods/WolfsonM91|conf/edbt/MiloW88,Hokkaido Information University
Amir Pnueli,journals/jacm/AshcroftMP73|journals/tse/HarelLNPPSST90|conf/lics/HarelLP90|conf/lics/PnueliZ86|conf/lics/HarelPSS87|conf/focs/Pnueli77|conf/popl/GabbayPSS80|conf/popl/LichtensteinP85|conf/icalp/MannaP79|conf/icse/HarelLNPPSS88,Université des Antilles et de la Guyane
Amir Sapir,conf/ngits/SapirG99,Halla University
Amir Zilberstein,conf/kdd/FeldmanKZ97,Newberry College
Amit Basu,journals/tkde/Basu93|journals/tkde/BasuA92|conf/icde/AhadB91|conf/icde/Basu88|journals/computer/DuttaB84,University of Wamia and Masuria in Olsztyn
Amit Jasuja,conf/sigmod/LahiriJJC98,Takamatsu University
Amit Konar,journals/tkde/KonarM96,Centre d'Etudes Supérieures des Techniques Industrielles
Amit P. Sheth,journals/debu/ShethR93|journals/debu/TomlinsonACMSSW93|journals/sigmod/OukselS99|journals/sigmod/ShethBS99|journals/tkde/GeorgakopoulosRS94|journals/csur/ShethL90|journals/vldb/KashyapS96|conf/icde/ShethSL84|conf/icde/ElmagarmidSL86|conf/icde/GeorgakopoulosRS91|conf/icde/ShethLCN88|conf/icde/ShethO91|conf/icde/Sheth88|conf/icde/Sheth89|conf/icde/ShethMNPS96|conf/icde/ShethSL87|conf/sigmod/ShethK93|conf/sigmod/ShklarSKT95|conf/sigmod/JinRNS93|conf/sigmod/WoelkACMSST93|conf/adbis/RusinkiewiczS94|conf/edbt/ShethLW88|conf/vldb/AnsariNRS92|conf/vldb/ShethKMWDLPLS96|conf/vldb/AttieSSR93|journals/debu/RusinkiewiczS91|journals/ieeecc/ShethAA99|journals/jiis/MillerPSKS98|journals/sigmod/KlasS94|journals/sigmod/ShethGJRSWW96|journals/sigmod/BreitbartDSSW93|journals/sigmod/OHareS89|journals/sigmod/Sheth91|journals/computer/LeeMS93|journals/computer/RusinkiewiczSK91|journals/tse/ShethSL85|journals/dpd/KrishnakumarS95|journals/dpd/SinghCHJKOSTW97|journals/dpd/MenaIKS00|journals/dpd/KrychniakRCST96|journals/dpd/GeorgakopoulosHS95|journals/is/GellerPNS92|journals/is/LarsonS91|journals/lncs/KarabatisRS93|conf/cikm/KashyapS94|conf/sigmod/Sheth95|conf/caise/ShklarSKS95|conf/adl/ShahS98|conf/ds/ShethSPM99|conf/ds/Sheth95|conf/ds/ShethK92|conf/wmrd/ShethR90|conf/coopis/MenaKSI96|conf/icdcs/ShethL86|conf/krdb/MenaKIS96|conf/ride/SavasereSGNM91,Osaka University of Education
Amit Shukla,journals/debu/DeshpandeNRSTZ97|journals/vldb/HaasCLS97|conf/sigmod/ZhaoDNS98|conf/sigmod/DeshpandeRSN98|conf/edbt/ShuklaDN00|conf/vldb/ShuklaDNR96|conf/vldb/ShuklaDN98,Universidad Autónoma de Campeche
Amit Singhal 0001,journals/ipm/SinghalSMB96|conf/sigir/SinghalBM96|conf/ht/SaltonSBM96,Universidad Nacional del Comahue
Amitabh Saran,conf/er/SmithSS94|conf/deductive/SaranPCASS93,Melaka Islamic University College
Amitabh Srivastava,conf/pldi/SrivastavaE94,Zambian Open University
Amitabha Mukerjee,conf/aaai/MukerjeeJ90|conf/ijcai/KumarM87,Brock University
Amitava Bagchi,journals/jacm/MahantiB85,Universidad Experimental Felix Adam
Amitava Dutta,journals/tkde/DuttaM93|journals/computer/DuttaB84,Centro Universitário de João Pessoa
Amitavo Islam,conf/tacs/IslamP94,Universidad Autónoma Tomás Frías
Amjad M. Daoud,journals/tois/FoxCDH91|journals/cacm/FoxHCD92|conf/sigir/DeFazioDSSCC95|conf/sigir/FoxFSDC93,Johore Bharu Primeir Polytechnic
Amnon Barak,journals/spe/BarakS85,Osaka Women's University
Amnon Meisels,journals/tkde/SolotorevskyGM94|conf/kdd/DomshlakGGLMRS98,University College of Kristianstad
Amnon Naamad,journals/tse/HarelLNPPSST90|journals/tosem/HarelN96|conf/icse/HarelLNPPSS88,Ibaraki Christian College
Amnon Nissenzweig,conf/focs/EppsteinGIN92,Harbin Institute of Technology
Amnon Shiloh,journals/spe/BarakS85,Ohio Valley College
Amos Fiat,journals/jal/FiatKLMSY91|conf/focs/AwerbuchBF93|conf/stoc/FiatN89|conf/stoc/AspnesAFPW93|conf/stoc/AwerbuchBF93|conf/stoc/BartalFR92|conf/stoc/BartalFKV92|conf/stoc/FiatNSSS88|conf/stoc/FiatNSS88|conf/crypto/ChaumFN88,Universidad para la Cooperación Internacional
Amotz Bar-Noy,conf/podc/Bar-NoyDDS87|conf/stoc/Bar-NoyCKMS95,State University of New York Institute of Technology at Utica/Rome
Amr El Abbadi,journals/debu/GeffnerRAA99|journals/debu/AlonsoA94|journals/tkde/AgrawalA96|journals/tkde/AbbadiT89|journals/tkde/AgrawalAL94|journals/tkde/AgrawalA90|journals/tods/AbbadiT89|journals/tods/Abdel-GhaffarA93|journals/tods/AgrawalAS93|journals/tods/AgrawalA92|journals/vldb/AgrawalAJL95|conf/icde/AlonsoAAKGM96|conf/icde/AristidesA92|conf/icde/GeffnerAAS99|conf/icde/PrabhakarAAA98|conf/icde/FerhatosmanogluAA99|conf/icde/AgrawalAL91|conf/er/WuAAS97|conf/er/StanoiAA99|conf/sigmod/AgrawalASY97|conf/sigmod/AgrawalAJ92|conf/sigmod/AbbadiT88|conf/pods/AbbadiT86|conf/pods/AbbadiSC85|conf/pods/Abdel-GhaffarA90|conf/pods/AlonsoAA94|conf/pods/AgrawalBAK94|conf/pods/AgrawalAJ92|conf/pods/AgrawalAS97|conf/pods/AgrawalA90|conf/dasfaa/DolinAA97|conf/icdt/RiedewaldAA01|conf/icdt/Abdel-GhaffarA97|conf/edbt/GeffnerAA00|conf/edbt/AlonsoVABASW94|conf/edbt/AgrawalA92|conf/vldb/AgrawalA92|conf/vldb/AgrawalA88|conf/vldb/AgrawalA90|journals/debu/SmithSAA93|journals/ipl/AgrawalA90|journals/tocs/AgrawalA91|journals/jcss/AgrawalA95|journals/tse/BirmanJRA85|journals/dpd/AlonsoA95|journals/is/AlonsoVABASW94|journals/is/AgrawalA95|journals/expert/AlonsoAAM97|journals/cj/AgrawalA90|conf/cikm/WuAASS96|conf/cikm/DolinAAD97|conf/ftcs/HollidayAA99|conf/oopsla/ResendeAA94|conf/europar/AgrawalAAS97|conf/dawak/RiedewaldAAP00|conf/adl/ChengDNPKWAAFSSS97|conf/spdp/AlonsoAA96|conf/dexaw/PrabhakarAAS97|conf/wmrd/AgrawalA92|conf/wmrd/AgrawalA90|conf/podc/AgrawalA89|conf/coopis/AlonsoGKAAM95|conf/icdcs/StanoiAA98|conf/fodo/StanoiAA98|conf/ssdbm/RiedewaldAA00|conf/spaa/PrabhakarAA98,Harvard University
Amy E. Zwarico,conf/oopsla/EifrigSTZ94,Tata Institute of Social Sciences
Amy Greenwald,journals/cn/KephartHG00|conf/ecsqaru/KephartG99|conf/sigecom/GreenwaldKT99|conf/ijcai/GreenwaldK99,Universidade de Uberaba
Amy J. Lee,conf/icde/LeeKNR99|conf/sigmod/RundensteinerKZWLLN99|conf/ssdbm/LeeRT94|conf/edbt/NicaLR98|journals/is/LeeRT95|conf/cikm/LeeRTL93|conf/krdb/RundensteinerLN97,California Coast University
Amy Kirchhoff,journals/jasis/ChenMKNS98,Texas College of Osteopathic Medicine
Amy L. Lansky,conf/aaai/GeorgeffL87|conf/aaai/LanskyF87|conf/ijcai/GeorgeffLB85,Louisiana State University in Shreveport
Amy Moormann Zaremski,journals/tosem/ZaremskiW97|conf/sigsoft/ZaremskiW95,University of Modern Sciences
Amy Unruh,conf/sigmod/BohrerBBCFHKKMNRRSUUW97a|conf/sigmod/BohrerBBCFHKKMNRRSUUW97,Universitas Jenderal Soedirman
Amy W. Apon,conf/sigmetrics/RostiSWAD93,University College of Gävle
Amy Wu,conf/dbsec/GarveyHJSW89,"Allahabad Agricultural Institute, Deemed University"
Amynmohamed Rajan,conf/kdd/HanFWCGKLLRSXZ96,Baker College of Port Huron
Amândio Vaz Velho,conf/er/VelhoC93,University of Brunei Darussalam
Amélie Marian,conf/vldb/AbiteboulAAACHHMMMMSTV99,University of Verona
Amílcar Sernadas,conf/er/SernadasS85|conf/vldb/SernadasSE87|journals/acta/FiadeiroS88|journals/acta/CostaSS94|journals/is/Sernadas80|journals/is/FiadeiroS86|journals/logcom/SernadasSC95|conf/dagstuhl/EhrichCSD98|conf/tdb/FiadeiroS87|conf/tdb/CarmoS87|conf/rex/EhrichGS90|conf/ds/SernadasS85|conf/ds/SernadasE90|conf/db-workshops/SernadasS85|conf/oodbs/EhrichSS88|conf/iski/EhrichSS92,Shanghai Sanda University
An-Chi Liu,conf/icdcs/LiuC82,Nilai University College
An-I Wang,conf/ecoopw/KuenningBGPRW98,Ryutsu Keizai University
Ana B. Benitez,journals/cacm/ChangSBB97|conf/spieSR/BeigiBC98,Segi University College
Ana Bove,conf/lfp/BoveA92,Nirma University
Ana Lucas,conf/vldb/Lucas79,Punjab Engineering College Deemed University
Ana María Monteiro,conf/dasfaa/TauSPM95,Yaroslavl State Theatre Institute
Ana Paula de Aguiar,conf/deductive/SaranPCASS93,Universitas Pasundan
Ana Ripoll,conf/vldb/LuqueRRB79,Gondar University
Ana Simonet,conf/dexa/BellatrecheKS97,Universidade do Estado do Rio Grande do Norte
Anand Deshpande,conf/vldb/DeshpandeG88|conf/btw/DeshpandeG87|conf/nf2/DeshpandeG87,Pennsylvania State University - Berks-Lehigh Valley College
Anand Narayanan,conf/sigmod/IoannidisLANT97,Károl Gáspár University of the Reformed Church
Anand Rajaraman,conf/icde/GuptaHRU97|conf/sigmod/HarinarayanRU96|conf/sigmod/ChawatheRGW96|conf/sigmod/QuassWGHLMNRRAUW96|conf/pods/RajaramanU96|conf/pods/RajaramanSU95|conf/pods/LevyRU96|conf/icdt/ChekuriR97|conf/vldb/LevyRO96|journals/jiis/Garcia-MolinaPQRSUVW97|journals/sigmod/GuptaHR97|conf/ngits/Garcia-MolinaQPRSUW95|conf/aaai/LevyRO96|conf/views/LevyRO96|conf/dood/QuassRSUW95,Universidad Europea de Madrid
Anand S. Rao,conf/kr/RaoG91,Beijing Language and Culture University
Anand Srinivasan,conf/er/HandsSV95,Fachhochschule Wiesbaden
Anant Agarwal,journals/tocs/AgarwalHH88|journals/tocs/AgarwalHH89|conf/isca/AgarwalSHH88,Ecole Supérieure d'Ingénieurs en Génie Electrique
Anant Jhingran,journals/debu/JhingranMP97|journals/dr/Jhingran99|journals/dr/Jhingran00|conf/icde/Jhingran91|conf/icde/JhingranS90|conf/icde/GottemukkalaJP97|conf/sigmod/JhingranK92|conf/sigmod/BhideGHJ92|conf/sigmod/StonebrakerJGP90|conf/sigmod/Jhingran00|conf/pods/SmithLCJ98|conf/vldb/Jhingran88|journals/tpds/DanYJ97|journals/ibmsj/BaruFGHJPCW95|conf/sigmod/BaruFGHJPW95,"Florida Metropolitan University, Fort Lauderdale College"
Ananth Raghavan,journals/dtj/RaghavanR91,Universidade Católica de Santos
Ananth Srinivasan,conf/icde/HillS87,Facultés Universitaires Notre-Dame de la Paix
Anany Levitin,journals/ipm/LevitinR95,"Sikkim Manipal University of Health, Medical and Technological Sciences"
Anastasia Analyti,conf/er/AnalytiSC97|conf/er/TheodorakisACS99|conf/sigmod/AnalytiP92|conf/coopis/TheodorakisACS98,Brjansk State Technical University
Anastassia Ailamaki,journals/debu/StavrosNMYL91|conf/sigmod/IoannidisLANT97|conf/ssdbm/IoannidisLARTYAN97|conf/ssdbm/AilamakiIL98|conf/vldb/AilamakiDHW99,"Arkansas State University, Newport"
Anat Eyal,conf/vldb/AbiteboulACEMM99,Tarbiat Modares University
Anat Gafni,conf/icde/GafniR92|conf/oodbs/RaoGR88,Transylvania University
Anatoly P. Pinchuk,conf/icdt/PinchukS92,Rusangu University
Anca Vaduva,journals/sigmod/VetterliVS00|conf/icde/VaduvaGD97|conf/rules/VaduvaGD97,Colegio de Estudios Superiores de Administración (CESA)
Anders Björnerstedt,journals/debu/AhlsenBH85|journals/debu/BjornerstedtH84|journals/tois/AhlsenBBHS84|conf/oopsla/BjornerstedtB88,Dongshin University
Anders Haraldson,journals/ai/BeckmanHOS76,Columbus University
Anders Haraldsson,conf/popl/Haraldsson78,Ryerson Polytechnic University
Anders I. Mørch,journals/tois/FischerLMM91|journals/ijmms/FischerLMM91,Shaoguan University
Anders Lindström,journals/csys/DearleBFHLRV94|journals/cacm/RosenbergDHLN96,Universidad Católica Argentina Santa Maria de los Buenos Aires
Anderson Wai,conf/pos/BuhrGW92,Central University for Nationalities
Andra Marynowski,conf/edbt/AhadDGLMO92,Centre National d'Etudes Agronomiques des Régions Chaudes
Andre B. Bondi,journals/dpd/BondiJ96,Aljouf University
Andre Engberts,journals/cacm/NingEK94,Universitas Wijaya Kusuma Purwokerto
Andre J. Sampaio,conf/tapsoft/SampaioHPUFA95,Harris-Stowe State University
Andre Marquis,conf/usenix/SteinMDRDRG94,Kongju National University of Education
Andre Scedrov,journals/apal/MillerNPS91|journals/iandc/Breazu-TannenCGS91|conf/lics/Breazu-TannenCGS89|conf/tacs/CardelliMMS91,Precarpathian University
Andrea Asperti,journals/jfp/AspertiGN96,San Juan Bautista School of Medicine
Andrea Bianco,conf/icde/BaralisB97,New Economic School
Andrea Bondavalli,conf/mfdbs/BondavalliFLV89,Amravati University
Andrea C. Arpaci-Dusseau,conf/sigmod/Arpaci-DusseauACHP97,Mugla University
Andrea C. Dusseau,conf/sigmetrics/Arpaci-DusseauAVLAP95,Vinnica National Technical University
Andrea Caloini,journals/spe/SchwabeCGP92,Ohio State University - Newark
Andrea H. Skarra,conf/icde/Sharra93|conf/oopsla/SkarraZ86|conf/pos/NodineSZ90|conf/oodbs/SkarraZR86,Fachhochschule Lübeck
Andrea J. Borr,conf/sigmod/BorrP88|conf/vldb/Borr81|conf/vldb/Borr84,Universidad del Turismo
Andrea Naletto,journals/jfp/AspertiGN96,Universidad Nuestra Senora de La Paz
Andrea Neufeld,journals/tkde/GotthardLN92|journals/vldb/NeufeldML93|journals/dke/LockemannMNRR93,Osaka University of Economics
Andrea S. Hemerly,journals/tkde/HemerlyCF93|conf/er/HemerlyCF91|conf/caise/CasanovaHF92,Chonju National University of Education
Andrea S. LaPaugh,journals/siamcomp/CoffmanGJL85|conf/stoc/LapaughR78,American University College of Technology
Andrea Schaerf,journals/jiis/DoniniLNS98|journals/jair/BuchheitDS93|conf/aaai/LenzeriniS91|conf/kr/DoniniLNSN92|conf/aiia/DoniniLNS91|conf/ijcai/BuchheitDS93,University of Edinburgh
Andrea Sikeler,conf/edbt/Sikeler88|conf/vldb/HarderMMS87|journals/debu/HarderSS89|conf/dpds/HarderSS88|conf/fodo/SchoningS89,Western Governors University
Andrea Zisman,conf/adbis/ZismanK97|conf/vldb/SetzerZ94,"East-West University, Mohakhali"
Andreas Abecker,journals/expert/AbeckerBHKS98,Baylor College of Dentistry
Andreas Arning,conf/kdd/ArningAR96|conf/kdd/AgrawalMSSAB96,Kent State University - East Liverpool
Andreas Bauer 0004,conf/dasfaa/BauerL97,Free International University of Social Studies
Andreas Becks,conf/coopis/BecksSJ00|conf/ercimdl/BecksST98,Boston Architectural Center
Andreas Birrer,conf/ecoop/BirrerE93,Indian Statistical Institute
Andreas Blass,journals/iandc/BlassG82|journals/iandc/BlassGK85,Beijing Union University
Andreas C. Lemke,journals/tois/FischerLMM91|journals/ijmms/FischerLMM91|conf/echt/StreitzHHLSST92,University of British Columbia
Andreas Dehmel,conf/sigmod/BaumannDFRW98|conf/vldb/BaumannDFRW99,Niigata Sangyo University
Andreas Dudler,conf/icde/BraggerDRZ84|journals/tse/BraggerDRZ85,Trakya University
Andreas Ebert,conf/widm/HohensteinE99|conf/dasfaa/EbertHH99|conf/efdbs/HohensteinE99,Universitas Widya Gama Malang
Andreas Fabri,conf/compgeom/DehneFR93,Université de Yaoundé I
Andreas Gawecki,conf/edbt/GaweckiM96|conf/ecoop/GaweckiM96,"Institute of Teachers Education, Ipoh"
Andreas Geppert,conf/er/KradolferGD99|conf/sigmod/GatziuGD95|conf/dbpl/GatziuGD91|journals/nis/GeppertD98|journals/tapos/GeppertBLR98|conf/rules/GeppertT97|conf/rules/GeppertKT95|conf/coopis/KradolferG99,University of Connecticut
Andreas Gloeckner,conf/bncod/RezendeHGL97,Dire Dawa University
Andreas Grasnickel,conf/sigmod/GesmannGHHKMS92|conf/ride/GesmannGS93|conf/ride/HubelMGGKSH92,University of Dohuk (Kurdistan Region)
Andreas Grüner,journals/dpd/BollGHK99,Université des Sciences et de la Technologie d'Oran
Andreas Günter,conf/wi/NeumannCGS87,National Institute of Education
Andreas Henrich,conf/cikm/HaaseH95|conf/icde/Henrich96|conf/icde/Henrich98|conf/adbis/HaaseH99|conf/vldb/HenrichSW89|conf/btw/HenrichHSW91|conf/cikm/Henrich96|conf/ngits/HenrichJ99|conf/wg/HenrichSW89|conf/gis/Henrich94|conf/gis/Henrich95|conf/ssd/HenrichM95,Sarah Lawrence College
Andreas Heuer 0001,conf/icde/HeuerS91|conf/icde/GoersH93|conf/icde/RiedelH96|conf/er/HeuerFW90|conf/mfdbs/HeuerS91|conf/mfdbs/Heuer89|conf/adbis/KrogerIRH99|conf/adbis/KrogerPH98|journals/dke/HeuerS93|conf/btw/HeuerS91|conf/fmldo/HeuerS90|conf/nf2/Heuer87|conf/dexa/HeuerL96|conf/dexa/HeuerK96|conf/artdb/WeikH95|conf/bncod/GrustKGHS97|conf/gvd/Heuer92|conf/cia/StaabBBDHKNPPSSUW99|conf/dood/HeuerS89,Tilka Manjhi Bhagalpur University
Andreas Hilbert,conf/btw/HenrichHSW91,Universidad Central del Caribe
Andreas Hutflesz,conf/icde/HutfleszSW90|conf/icde/HutfleszSW88|conf/sigmod/HutfleszSW88|conf/edbt/HutfleszSW88,China Three Gorges University
Andreas J. Winter 0001,conf/esec/SchurrWZ95,Jinnah University for Women
Andreas Kluck,conf/adbis/BiskupK97,Kuban State University of Technology
Andreas Koeller,conf/icde/LeeKNR99|conf/dolap/KoellerRH98|conf/sigmod/RundensteinerKZWLLN99,Universidad Católica de La Plata
Andreas Kotulla,journals/cn/GesslerK95,Hebei Academy of Fine Art
Andreas L. Prodromidis,conf/kdd/Stolfo98|conf/kdd/StolfoPTLFC97,Pomona College
Andreas Lampen,conf/sde/MahlerL88,State University of New York College of Agriculture and Technology at Cobleskill
Andreas Listl,conf/europar/BozasJLMRZ96,Harbin University of Civil Engineering & Architecture
Andreas Meier 0001,conf/vldb/MeierL83|conf/vldb/Meier95|journals/insk/MeierD92|conf/btw/Meier85,Institut National des Sciences Appliquées de Lyon
Andreas Miethsam,conf/dexa/KeimKM93|conf/coopis/KeimKM94|conf/ride/KeimKM93,Bishkek Humanities University
Andreas Neumann 0001,conf/fsttcs/NeumannS98,College of Business Management ( CBM )
Andreas Oberweis,conf/er/JaeschkeOS93|conf/er/JaeschkeOS94|conf/ssdbm/OberweisS94|journals/is/OberweisSS94|conf/tdb/OberweisL87,Université des Antilles et de la Guyane
Andreas Paepcke,journals/sigmod/PaepckeGRC00|journals/tkde/ChangGP96|conf/icde/Paepcke93|conf/sigmod/GravanoCGP97|conf/dl/CousinsPWBP97|conf/dl/BaldonadoCGP97|conf/dl/KetchpelGP97|journals/cn/Rodriguez-MulaGP98|journals/jodl/BaldonadoCGP97|journals/computer/PaepckeCGHKRW96|journals/tois/ChangGP99|journals/cacm/PaepckeCGW98|conf/oopsla/Paepcke89|conf/oopsla/Paepcke90|conf/ecoop/Paepcke88|conf/dl/CousinsKPGHR95,Donau-Universität Krems
Andreas Podelski,journals/jlp/Ait-KaciP93|journals/cacm/CookPR11|journals/it/BeckerPDFOW07|conf/plilp/Ait-KaciP91,University of Eastern Philippines
Andreas Reuter 0001,journals/debu/ReuterS95|journals/csur/HarderR83|journals/tods/Reuter84|conf/icde/ChaudhuriADRSW97|conf/icde/Reuter86|conf/sigmod/ReuterS88|conf/pods/Reuter82|conf/vldb/Reuter79|conf/vldb/PeinlR83|conf/vldb/StonebrakerADNR93|journals/debu/HarderPR85|journals/debu/ReuterW91|journals/sigmod/BernsteinDDGGJLLMNRRSSSS89|journals/tse/ReuterK84|journals/tse/Reuter80|journals/is/EffelsbergHR80|journals/sigops/PeinlR83|conf/btw/HarderR85|conf/hpts/HellandSLCGR87|conf/hpts/Reuter85|conf/ds/HarderR79|conf/icod/EffelsbergHR80,Sardar Patel University
Andreas Rudloff,conf/vldb/SubietaMSR93|conf/ewdw/RudloffMS94|conf/ewdw/EderRMS90,Middlebury College
Andreas S. Schulz,conf/icalp/ChakrabartiPSSSW96,"South-West University ""Neofit Rilski"""
Andreas Schütz,conf/dasfaa/ShimadaNISKI89,Tama Institute of Management and Information Sciences
Andreas Steiner,conf/er/NorrieSWW96|conf/dasfaa/SteinerN97|conf/dagstuhl/SnodgrassBJS97|conf/caise/SteinerN97,Prince Mohammad Bin Fahd University
Andreas Thums,conf/fase/BalserRSST00,Oregon College of Arts and Crafts
Andreas Weber,journals/acta/Weber92,Institut Catholique d'Arts et Métiers Nantes
Andreas Weber 0002,conf/eds/Weber86,Kuwait International Law School
Andreas Winter 0001,conf/er/EbertWDFS96,Université Rennes II - Haute-Bretagne
Andreas Wolf,journals/ife/DrogeSW90|conf/ds/SchekW92|conf/ssd/SchekW93|conf/ssd/Wolf89,Universidad México Internacional
Andreas Zachmann,conf/icde/MoerkotteZ93|conf/edbt/MoerkotteZ92|journals/gidr/BrunsKKMWZ92|conf/btw/KemperMWZ91,"Universidad Católica Boliviana, Santa Cruz"
Andreas Zamperoni,conf/er/ZamperoniL93,University of Baguio
Andreas Zeller,journals/ife/SneltingFGKZ94,Université de Pau et des Pays de l'Adour
Andree Keitel,journals/sigmod/KramerNKRLKLZ97,Toyohashi University of Technology
Andrei P. Ershov,journals/ipl/Ershov77,Technological University (Kyaukse)
Andrei Voronkov,conf/pods/DantsinV00|conf/pods/VorobyovV98|conf/coco/DantsinEGV97,Universiteit Antwerpen
Andrei Z. Broder,journals/cn/BharatB98|journals/cn/BroderGMZ97|journals/cn/BharatBHKV98|journals/cn/BharatB99|journals/tcs/AzarBK94|conf/soda/BroderFU93|conf/sigcomm/FanCAB98|conf/stoc/AzarBKU94|conf/stoc/BroderCFM98,Missouri Tech
Andrej Kovacic,conf/adbis/JaklicSDGGKRT99,Isabela State University
Andrej Vckovski,conf/ssd/BlottV95,Kostanai State University
Andrew A. Chien,conf/ics/HuberCEBR95,Higher School o Business/National Louis University(WSB/NLU) in Nowy Sacz
Andrew A. Poggio,journals/computer/PoggioGCMAWH85,National Ribat University
Andrew B. Philips,journals/ai/MintonJPL92|conf/aaai/MintonJPL90,Ozyegin University
Andrew B. Whinston,journals/tkde/LinCWM93|journals/tods/MooreRW90|journals/tods/BonczekCW77|journals/cacm/HamalainenWV96|journals/is/BonczekW77|journals/is/HolsappleSW82|journals/is/CashWH76|journals/is/DePW87,Hochschule Zittau/Görlitz (FH)
Andrew Birrell,journals/tocs/SchroederBN84|journals/tocs/BirrelN84|journals/cacm/BirrellLNS82|conf/sosp/BirrellN83|conf/sosp/BirrellLNS81|conf/sosp/BirrellNOW93|conf/wmrd/HisgenBJMSS90|conf/sp/BirrellLNS86|conf/hotos/HisgenBMSS89,University of Southeastern Philippines
Andrew C. Jones,conf/adbis/ThomasJ96|conf/dexa/ThomasJ96|conf/oois/ThomasJ95|conf/rules/ThomasJ95,"Federal University of Technology, Minna"
Andrew C. Myers,conf/sigmod/LiskovACDGGMMS96|journals/loplas/DayLMM93|conf/oopsla/DayGLM95|conf/sosp/CastroALM97,University of Basel
Andrew Chi-Chih Yao,journals/toms/BentleyWY80|journals/ipl/Yao80|journals/ipl/Yao79|journals/ipl/Yao75|journals/acta/Yao78|journals/jacm/Yao81a|journals/cacm/TarjanY79|journals/siamcomp/Yao85a|conf/focs/YaoY76|conf/stoc/Yao82|conf/stoc/YaoY85|conf/stoc/Yao79,Instituto Superior de Ciênicas e Tecnologia de Moçambique
Andrew Choi,journals/tc/ChoiR93,University of Food Technology
Andrew Citron,conf/icde/SamarasBCM93|journals/dpd/SamarasBCM95,Institute of Management Development - Ohrid
Andrew D. M. Walker,journals/cj/HarperW92,Khmelnitsky National University
Andrew D. Malyan,journals/jsac/MalyanNLD93,Bhagwant University
Andrew Deacon,journals/debu/WeikumDSS93|conf/icde/DeaconSW94|journals/sigmod/BreitbartDSSW93,Northern University Bangladesh
Andrew Dinn,conf/vldb/BarjaPFWD94|journals/is/BarjaFPWDA95|conf/dexa/AbdelmotyPWFBD94|conf/rules/PatonDWCDJ93,University of Utah
Andrew E. Johnson 0001,conf/ssdbm/JohnsonF94,Pontificia Universidade Católica do Paraná
